source_question_id,question_name,category_path,input_count,prt_count,node_count,exit_outcome_count,simple_single_prt,outcome_codes,curriculum_concept_id
222190,Calculating the amount of bread each child receives in kilograms,"Grade 9 > 3.0. Measurements > Mass, Volume, Weight and Density > Converting Units of Mass from One Form to Another",1,1,2,3,False,prt1-1-T | prt1-2-T | prt1-2-F,
206991,Converting different units of mass into decigrams,"Grade 9 > 3.0. Measurements > Mass, Volume, Weight and Density > Converting Units of Mass from One Form to Another",4,4,4,8,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F | prt4-1-T | prt4-1-F,
206997,Converting different units of mass into kilograms,"Grade 9 > 3.0. Measurements > Mass, Volume, Weight and Density > Converting Units of Mass from One Form to Another",4,4,4,8,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F | prt4-1-T | prt4-1-F,
206945,Finding the total mass of multiple blocks in decigrams,"Grade 9 > 3.0. Measurements > Mass, Volume, Weight and Density > Converting Units of Mass from One Form to Another",1,1,1,2,True,prt1-1-T | prt1-1-F,
206910,Calculating the mass of a car in decigrams given its weight.,"Grade 9 > 3.0. Measurements > Mass, Volume, Weight and Density > Relating Mass and Weight",1,1,1,2,True,prt1-1-T | prt1-1-F,
206937,Calculating weight from given masses.,"Grade 9 > 3.0. Measurements > Mass, Volume, Weight and Density > Relating Mass and Weight",3,3,3,6,False,prt1-1-T | prt1-1-F | prt2-1-T | prt2-1-F | prt3-1-T | prt3-1-F,
206912,Finding the weight of a given animal.,"Grade 9 > 3.0. Measurements > Mass, Volume, Weight and Density > Relating Mass and Weight",1,1,1,2,True,prt1-1-T | prt1-1-F,
206907,Finding the weight of an object on the Moon.,"Grade 9 > 3.0. Measurements > Mass, Volume, Weight and Density > Relating Mass and Weight",1,1,1,2,True,prt1-1-T | prt1-1-F,
206905,Calculating the Mass of a Cylindrical Container in Decigrams,"Grade 9 > 3.0. Measurements > Mass, Volume, Weight and Density > Mass, Volume and Density",1,1,1,2,True,prt1-1-T | prt1-1-F,
206850,Finding the density of a given object.,"Grade 9 > 3.0. Measurements > Mass, Volume, Weight and Density > Mass, Volume and Density",1,1,1,2,True,prt1-1-T | prt1-1-F,
206904,Finding the Volume of a Bar of Soap from Mass and Density,"Grade 9 > 3.0. Measurements > Mass, Volume, Weight and Density > Mass, Volume and Density",1,1,1,2,True,prt1-1-T | prt1-1-F,
